date,state,positive
20200207,Shanghai,277
20200207,Shanxi,104
20200207,Sichuan,344
20200207,Tianjin,81
20200207,Xinjiang,39
20200207,Yunnan,138
20200207,Zhejiang,1006
20200208,Anhui,733
20200208,Beijing,315
20200208,Chongqing,428
20200208,Fujian,239
20200208,Gansu,79
20200208,Guangdong,1095
20200208,Guangxi,183
20200208,Guizhou,89
20200208,Hainan,124
20200208,Hebei,195
20200208,Heilongjiang,295
20200208,Henan,981
20200208,Hong Kong,26
20200208,Hubei,27100
20200208,Hunan,803
20200208,Inner Mongolia,52
20200208,Jiangsu,439
20200208,Jiangxi,698
20200208,Jilin,69
20200208,Liaoning,105
20200208,Ningxia,45
20200208,Shaanxi,195
20200208,Shandong,416
20200208,Shanghai,286
20200208,Shanxi,115
20200208,Sichuan,364
20200208,Tianjin,88
20200208,Xinjiang,42
20200208,Yunnan,138
20200208,Zhejiang,1048
20200209,Anhui,779
20200209,Beijing,326
20200209,Chongqing,468
20200209,Fujian,250
20200209,Gansu,83
20200209,Guangdong,1131
20200209,Guangxi,195
20200209,Guizhou,99
20200209,Hainan,131
20200209,Hebei,206
20200209,Heilongjiang,307
20200209,Henan,1033
20200209,Hong Kong,29
20200209,Hubei,29631
20200209,Hunan,838
20200209,Inner Mongolia,54
20200209,Jiangsu,468
20200209,Jiangxi,740
20200209,Jilin,78
20200209,Liaoning,107
20200209,Ningxia,45
20200209,Shaanxi,208
20200209,Shandong,444
20200209,Shanghai,293
20200209,Shanxi,119
20200209,Sichuan,386
20200209,Tianjin,91
20200209,Xinjiang,45
20200209,Yunnan,141
20200209,Zhejiang,1075
20200210,Anhui,830
20200210,Beijing,337
20200210,Chongqing,486
20200210,Fujian,261
20200210,Gansu,83
20200210,Guangdong,1159
20200210,Guangxi,210
20200210,Guizhou,109
20200210,Hainan,138
20200210,Hebei,218
20200210,Heilongjiang,331
20200210,Henan,1073
20200210,Hong Kong,38
20200210,Hubei,31728
20200210,Hunan,879
20200210,Inner Mongolia,58
20200210,Jiangsu,492
20200210,Jiangxi,771
20200210,Jilin,80
20200210,Liaoning,108
20200210,Ningxia,49
20200210,Shaanxi,213
20200210,Shandong,466
20200210,Shanghai,299
20200210,Shanxi,119
20200210,Sichuan,405
20200210,Tianjin,95
20200210,Xinjiang,49
20200210,Yunnan,149
20200210,Zhejiang,1092
20200211,Anhui,860
20200211,Beijing,342
20200211,Chongqing,505
20200211,Fujian,267
20200211,Gansu,86
20200211,Guangdong,1177
20200211,Guangxi,215
20200211,Guizhou,127
20200211,Hainan,144
20200211,Hebei,239
20200211,Heilongjiang,360
20200211,Henan,1105
20200211,Hong Kong,49
20200211,Hubei,33366
20200211,Hunan,912
20200211,Inner Mongolia,58
20200211,Jiangsu,515
20200211,Jiangxi,804
20200211,Jilin,81
20200211,Liaoning,111
20200211,Ningxia,53
20200211,Shaanxi,219
20200211,Shandong,487
20200211,Shanghai,303
20200211,Shanxi,124
20200211,Sichuan,417
20200211,Tianjin,106
20200211,Xinjiang,55
20200211,Yunnan,153
20200211,Zhejiang,1117
20200212,Anhui,889
20200212,Beijing,352
20200212,Chongqing,518
20200212,Fujian,272
20200212,Gansu,87
20200212,Guangdong,1219
20200212,Guangxi,222
20200212,Guizhou,133
20200212,Hainan,157
20200212,Hebei,251
20200212,Heilongjiang,378
20200212,Henan,1135
20200212,Hong Kong,50
20200212,Hubei,33366
20200212,Hunan,946
20200212,Inner Mongolia,60
20200212,Jiangsu,543
20200212,Jiangxi,844
20200212,Jilin,83
20200212,Liaoning,116
20200212,Ningxia,58
20200212,Shaanxi,225
20200212,Shandong,497
20200212,Shanghai,311
20200212,Shanxi,126
20200212,Sichuan,436
20200212,Tianjin,112
20200212,Xinjiang,59
20200212,Yunnan,154
20200212,Zhejiang,1131
20200213,Anhui,910
20200213,Beijing,366
20200213,Chongqing,529
20200213,Fujian,279
20200213,Gansu,90
20200213,Guangdong,1241
20200213,Guangxi,222
20200213,Guizhou,135
20200213,Hainan,157
20200213,Hebei,265
20200213,Heilongjiang,395
20200213,Henan,1169
20200213,Hong Kong,53
20200213,Hubei,48206
20200213,Hunan,968
20200213,Inner Mongolia,61
20200213,Jiangsu,570
20200213,Jiangxi,872
20200213,Jilin,84
20200213,Liaoning,117
20200213,Ningxia,64
20200213,Shaanxi,229
20200213,Shandong,509
20200213,Shanghai,315
20200213,Shanxi,126
20200213,Sichuan,451
20200213,Tianjin,119
20200213,Xinjiang,63
20200213,Yunnan,156
20200213,Zhejiang,1145
20200214,Anhui,934
20200214,Beijing,372
20200214,Chongqing,537
20200214,Fujian,281
20200214,Gansu,90
20200214,Guangdong,1261
20200214,Guangxi,226
20200214,Guizhou,140
20200214,Hainan,159
20200214,Hebei,283
20200214,Heilongjiang,419
20200214,Henan,1184
20200214,Hong Kong,56
20200214,Hubei,54406
20200214,Hunan,988
20200214,Inner Mongolia,65
20200214,Jiangsu,593
20200214,Jiangxi,900
20200214,Jilin,86
20200214,Liaoning,119
20200214,Ningxia,67
20200214,Shaanxi,230
20200214,Shandong,523
20200214,Shanghai,318
20200214,Shanxi,127
20200214,Sichuan,463
20200214,Tianjin,120
20200214,Xinjiang,65
20200214,Yunnan,162
20200214,Zhejiang,1155
20200215,Anhui,950
20200215,Beijing,375
20200215,Chongqing,544
20200215,Fujian,285
20200215,Gansu,90
20200215,Guangdong,1294
20200215,Guangxi,235
20200215,Guizhou,143
20200215,Hainan,162
20200215,Hebei,291
20200215,Heilongjiang,425
20200215,Henan,1212
20200215,Hong Kong,56
20200215,Hubei,56249
20200215,Hunan,1001
20200215,Inner Mongolia,68
20200215,Jiangsu,604
20200215,Jiangxi,913
20200215,Jilin,88
20200215,Liaoning,119
20200215,Ningxia,70
20200215,Shaanxi,232
20200215,Shandong,532
20200215,Shanghai,326
20200215,Shanxi,128
20200215,Sichuan,470
20200215,Tianjin,122
20200215,Xinjiang,70
20200215,Yunnan,168
20200215,Zhejiang,1162
20200216,Anhui,962
20200216,Beijing,380
20200216,Chongqing,551
20200216,Fujian,287
20200216,Gansu,90
20200216,Guangdong,1316
20200216,Guangxi,237
20200216,Guizhou,144
20200216,Hainan,162
20200216,Hebei,300
20200216,Heilongjiang,445
20200216,Henan,1231
20200216,Hong Kong,57
20200216,Hubei,58182
20200216,Hunan,1004
20200216,Inner Mongolia,70
20200216,Jiangsu,617
20200216,Jiangxi,925
20200216,Jilin,89
20200216,Liaoning,121
20200216,Ningxia,70
20200216,Shaanxi,236
20200216,Shandong,537
20200216,Shanghai,328
20200216,Shanxi,129
20200216,Sichuan,481
20200216,Tianjin,124
20200216,Xinjiang,71
20200216,Yunnan,171
20200216,Zhejiang,1167
20200217,Anhui,973
20200217,Beijing,381
20200217,Chongqing,553
20200217,Fujian,290
20200217,Gansu,91
20200217,Guangdong,1322
20200217,Guangxi,238
20200217,Guizhou,146
20200217,Hainan,163
20200217,Hebei,301
20200217,Heilongjiang,457
20200217,Henan,1246
20200217,Hong Kong,60
20200217,Hubei,59989
20200217,Hunan,1006
20200217,Inner Mongolia,72
20200217,Jiangsu,626
20200217,Jiangxi,930
20200217,Jilin,89
20200217,Liaoning,121
20200217,Ningxia,70
20200217,Shaanxi,240
20200217,Shandong,541
20200217,Shanghai,333
20200217,Shanxi,130
20200217,Sichuan,495
20200217,Tianjin,125
20200217,Xinjiang,75
20200217,Yunnan,171
20200217,Zhejiang,1171
20200218,Anhui,982
20200218,Beijing,387
20200218,Chongqing,555
20200218,Fujian,292
20200218,Gansu,91
20200218,Guangdong,1328
20200218,Guangxi,242
20200218,Guizhou,146
20200218,Hainan,163
20200218,Hebei,306
20200218,Heilongjiang,464
20200218,Henan,1257
20200218,Hong Kong,62
20200218,Hubei,61682
20200218,Hunan,1007
20200218,Inner Mongolia,73
20200218,Jiangsu,629
20200218,Jiangxi,933
20200218,Jilin,89
20200218,Liaoning,121
20200218,Ningxia,70
20200218,Shaanxi,240
20200218,Shandong,543
20200218,Shanghai,333
20200218,Shanxi,131
20200218,Sichuan,508
20200218,Tianjin,128
20200218,Xinjiang,76
20200218,Yunnan,172
20200218,Zhejiang,1172
20200219,Anhui,986
20200219,Beijing,393
20200219,Chongqing,560
20200219,Fujian,293
20200219,Gansu,91
20200219,Guangdong,1331
20200219,Guangxi,244
20200219,Guizhou,146
20200219,Hainan,168
20200219,Hebei,306
20200219,Heilongjiang,470
20200219,Henan,1262
20200219,Hong Kong,63
20200219,Hubei,62031
20200219,Hunan,1008
20200219,Inner Mongolia,75
20200219,Jiangsu,631
20200219,Jiangxi,934
20200219,Jilin,90
20200219,Liaoning,121
20200219,Ningxia,71
20200219,Shaanxi,242
20200219,Shandong,544
20200219,Shanghai,333
20200219,Shanxi,131
20200219,Sichuan,514
20200219,Tianjin,130
20200219,Xinjiang,76
20200219,Yunnan,172
20200219,Zhejiang,1174
20200220,Anhui,987
20200220,Beijing,395
20200220,Chongqing,567
20200220,Fujian,293
20200220,Gansu,91
20200220,Guangdong,1332
20200220,Guangxi,245
20200220,Guizhou,146
20200220,Hainan,168
20200220,Hebei,307
20200220,Heilongjiang,476
20200220,Henan,1265
20200220,Hong Kong,68
20200220,Hubei,62442
20200220,Hunan,1010
20200220,Inner Mongolia,75
20200220,Jiangsu,631
20200220,Jiangxi,934
20200220,Jilin,91
20200220,Liaoning,121
20200220,Ningxia,71
20200220,Shaanxi,245
20200220,Shandong,546
20200220,Shanghai,334
20200220,Shanxi,132
20200220,Sichuan,520
20200220,Tianjin,131
20200220,Xinjiang,76
20200220,Yunnan,174
20200220,Zhejiang,1175
20200221,Anhui,988
20200221,Beijing,396
20200221,Chongqing,572
20200221,Fujian,293
20200221,Gansu,91
20200221,Guangdong,1333
20200221,Guangxi,246
20200221,Guizhou,146
20200221,Hainan,168
20200221,Hebei,308
20200221,Heilongjiang,479
20200221,Henan,1267
20200221,Hong Kong,68
20200221,Hubei,62662
20200221,Hunan,1011
20200221,Inner Mongolia,75
20200221,Jiangsu,631
20200221,Jiangxi,934
20200221,Jilin,91
20200221,Liaoning,121
20200221,Ningxia,71
20200221,Shaanxi,245
20200221,Shandong,749
20200221,Shanghai,334
20200221,Shanxi,132
20200221,Sichuan,525
20200221,Tianjin,132
20200221,Xinjiang,76
20200221,Yunnan,174
20200221,Zhejiang,1203
20200222,Anhui,989
20200222,Beijing,399
20200222,Chongqing,573
20200222,Fujian,293
20200222,Gansu,91
20200222,Guangdong,1339
20200222,Guangxi,249
20200222,Guizhou,146
20200222,Hainan,168
20200222,Hebei,309
20200222,Heilongjiang,479
20200222,Henan,1270
20200222,Hong Kong,69
20200222,Hubei,64084
20200222,Hunan,1013
20200222,Inner Mongolia,75
20200222,Jiangsu,631
20200222,Jiangxi,934
20200222,Jilin,91
20200222,Liaoning,121
20200222,Ningxia,71
20200222,Shaanxi,245
20200222,Shandong,750
20200222,Shanghai,335
20200222,Shanxi,132
20200222,Sichuan,526
20200222,Tianjin,135
20200222,Xinjiang,76
20200222,Yunnan,174
20200222,Zhejiang,1205
20200223,Anhui,989
20200223,Beijing,399
20200223,Chongqing,575
20200223,Fujian,293
20200223,Gansu,91
20200223,Guangdong,1342
20200223,Guangxi,249
20200223,Guizhou,146
20200223,Hainan,168
20200223,Hebei,311
20200223,Heilongjiang,480
20200223,Henan,1271
20200223,Hong Kong,74
20200223,Hubei,64084
20200223,Hunan,1016
20200223,Inner Mongolia,75
20200223,Jiangsu,631
20200223,Jiangxi,934
20200223,Jilin,91
20200223,Liaoning,121
20200223,Ningxia,71
20200223,Shaanxi,245
20200223,Shandong,754
20200223,Shanghai,335
20200223,Shanxi,132
20200223,Sichuan,526
20200223,Tianjin,135
20200223,Xinjiang,76
20200223,Yunnan,174
20200223,Zhejiang,1205
20200224,Anhui,989
20200224,Beijing,399
20200224,Chongqing,576
20200224,Fujian,293
20200224,Gansu,91
20200224,Guangdong,1345
20200224,Guangxi,251
20200224,Guizhou,146
20200224,Hainan,168
20200224,Hebei,311
20200224,Heilongjiang,480
20200224,Henan,1271
20200224,Hong Kong,79
20200224,Hubei,64287
20200224,Hunan,1016
20200224,Inner Mongolia,75
20200224,Jiangsu,631
20200224,Jiangxi,934
20200224,Jilin,93
20200224,Liaoning,121
20200224,Ningxia,71
20200224,Shaanxi,245
20200224,Shandong,755
20200224,Shanghai,335
20200224,Shanxi,133
20200224,Sichuan,527
20200224,Tianjin,135
20200224,Xinjiang,76
20200224,Yunnan,174
20200224,Zhejiang,1205
20200225,Anhui,989
20200225,Beijing,400
20200225,Chongqing,576
20200225,Fujian,294
20200225,Gansu,91
20200225,Guangdong,1347
20200225,Guangxi,252
20200225,Guizhou,146
20200225,Hainan,168
20200225,Hebei,311
20200225,Heilongjiang,480
20200225,Henan,1271
20200225,Hong Kong,84
20200225,Hubei,64786
20200225,Hunan,1016
20200225,Inner Mongolia,75
20200225,Jiangsu,631
20200225,Jiangxi,934
20200225,Jilin,93
20200225,Liaoning,121
20200225,Ningxia,71
20200225,Shaanxi,245
20200225,Shandong,756
20200225,Shanghai,336
20200225,Shanxi,133
20200225,Sichuan,529
20200225,Tianjin,135
20200225,Xinjiang,76
20200225,Yunnan,174
20200225,Zhejiang,1205
20200226,Anhui,989
20200226,Beijing,400
20200226,Chongqing,576
20200226,Fujian,294
20200226,Gansu,91
20200226,Guangdong,1347
20200226,Guangxi,252
20200226,Guizhou,146
20200226,Hainan,168
20200226,Hebei,312
20200226,Heilongjiang,480
20200226,Henan,1271
20200226,Hong Kong,91
20200226,Hubei,65187
20200226,Hunan,1016
20200226,Inner Mongolia,75
20200226,Jiangsu,631
20200226,Jiangxi,934
20200226,Jilin,93
20200226,Liaoning,121
20200226,Ningxia,71
20200226,Shaanxi,245
20200226,Shandong,756
20200226,Shanghai,337
20200226,Shanxi,133
20200226,Sichuan,531
20200226,Tianjin,135
20200226,Xinjiang,76
20200226,Yunnan,174
20200226,Zhejiang,1205
20200227,Anhui,989
20200227,Beijing,410
20200227,Chongqing,576
20200227,Fujian,296
20200227,Gansu,91
20200227,Guangdong,1347
20200227,Guangxi,252
20200227,Guizhou,146
20200227,Hainan,168
20200227,Hebei,317
20200227,Heilongjiang,480
20200227,Henan,1272
20200227,Hong Kong,92
20200227,Hubei,65596
20200227,Hunan,1017
20200227,Inner Mongolia,75
20200227,Jiangsu,631
20200227,Jiangxi,934
20200227,Jilin,93
20200227,Liaoning,121
20200227,Ningxia,72
20200227,Shaanxi,245
20200227,Shandong,756
20200227,Shanghai,337
20200227,Shanxi,133
20200227,Sichuan,534
20200227,Tianjin,136
20200227,Xinjiang,76
20200227,Yunnan,174
20200227,Zhejiang,1205
20200228,Anhui,990
20200228,Beijing,410
20200228,Chongqing,576
20200228,Fujian,296
20200228,Gansu,91
20200228,Guangdong,1348
20200228,Guangxi,252
20200228,Guizhou,146
20200228,Hainan,168
20200228,Hebei,318
20200228,Heilongjiang,480
20200228,Henan,1272
20200228,Hong Kong,94
20200228,Hubei,65914
20200228,Hunan,1017
20200228,Inner Mongolia,75
20200228,Jiangsu,631
20200228,Jiangxi,935
20200228,Jilin,93
20200228,Liaoning,121
20200228,Ningxia,72
20200228,Shaanxi,245
20200228,Shandong,756
20200228,Shanghai,337
20200228,Shanxi,133
20200228,Sichuan,538
20200228,Tianjin,136
20200228,Xinjiang,76
20200228,Yunnan,174
20200228,Zhejiang,1205
20200229,Anhui,990
20200229,Beijing,411
20200229,Chongqing,576
20200229,Fujian,296
20200229,Gansu,91
20200229,Guangdong,1349
20200229,Guangxi,252
20200229,Guizhou,146
20200229,Hainan,168
20200229,Hebei,318
20200229,Heilongjiang,480
20200229,Henan,1272
20200229,Hong Kong,95
20200229,Hubei,66337
20200229,Hunan,1018
20200229,Inner Mongolia,75
20200229,Jiangsu,631
